he2022

30

pe

wavel  k
6.2313800134  n  0.05022
6.237949996  n  0.04957
6.2445099829  n  0.04975
6.2510799913  n  0.04975
6.2576399918  n  0.04895
6.264210008  n  0.04895
6.2707799932  n  0.0487
6.2773400128  n  0.04866
6.2839099813  n  0.04839
6.290470014  n  0.04845
6.2970399907  n  0.04805
6.3035999834  n  0.04764
6.310169995  n  0.04739
6.3167399901  n  0.04703
6.3233000099  n  0.04702
6.329869983  n  0.04702
6.3364300143  n  0.04681
6.3429999956  n  0.04696
6.3495599895  n  0.04637
6.356130011  n  0.046
6.3626999998  n  0.04581
6.3692600149  n  0.04588
6.3758299936  n  0.04535
6.3823899955  n  0.04507
6.3889599998  n  0.04491
6.3955199843  n  0.0445
6.4020900109  n  0.04471
6.4086599966  n  0.04438
6.4152199811  n  0.04399
6.4217899862  n  0.04372
6.4283499903  n  0.04337
6.4349200149  n  0.04367
6.4414799981  n  0.04167
6.448050002  n  0.04158
6.4546100077  n  0.04148
6.4611799933  n  0.04141
6.4677499812  n  0.04132
6.4743099962  n  0.04123
6.4808800138  n  0.04115
6.4874400209  n  0.04106
6.4940099901  n  0.04096
6.500569996  n  0.04088
6.5071400082  n  0.0408
6.5137099917  n  0.04072
6.5202700002  n  0.04064
6.5268399978  n  0.04055
6.5333999853  n  0.04046
6.5399700077  n  0.04037
6.5465299856  n  0.04028
6.553100002  n  0.04021
6.5596700087  n  0.04013
6.5662300065  n  0.04005
6.5727999843  n  0.03996
6.5793600068  n  0.03978
6.5859300141  n  0.0396
6.592489991  n  0.03943
6.5990600009  n  0.03926
6.605629985  n  0.0391
6.6121899795  n  0.03893
6.6187599936  n  0.03877
6.625319988  n  0.03862
6.6318900081  n  0.03847
6.6384499793  n  0.03829
6.6450199825  n  0.03813
6.6515899954  n  0.03796
6.6581500051  n  0.03781
6.6647199908  n  0.03766
6.6712799902  n  0.03751
6.6778500176  n  0.03735
6.6844099874  n  0.0372
6.6909799929  n  0.03704
6.6975500074  n  0.0369
6.704110015  n  0.03675
6.7106800036  n  0.03661
6.7172400054  n  0.03647
6.7238099969  n  0.03633
6.7303699775  n  0.0362
6.7369400022  n  0.03606
6.7435099971  n  0.03593
6.7500699915  n  0.0358
6.7566400221  n  0.03566
6.7631999843  n  0.03553
6.7697699929  n  0.0354
6.7763300028  n  0.03526
6.7828999781  n  0.03512
6.7894599799  n  0.03499
6.7960300039  n  0.03488
6.8025999836  n  0.03476
6.8091600062  n  0.03464
6.8157299987  n  0.03452
6.8222900152  n  0.03438
